fixture,vertices,edges,parent_planar,parent_tait_count,central_edge_id,central_edge,pairing_index,partition_identity_passed,valid_child,invalid_reason,child_planar,child_has_bridge,replacement_edges_adjacent,child_tait_count,replacement_monochromatic_count,replacement_bichromatic_count,liftable_parent_count,lift_rate,colorable_but_nonliftable
k4_tetrahedral,4,6,True,6,0,"(0, 1)",0,True,False,pairing creates a loop,,,,0,0,0,0,,False
k4_tetrahedral,4,6,True,6,0,"(0, 1)",1,True,True,,True,False,True,6,0,6,6,1.0,False
k4_tetrahedral,4,6,True,6,1,"(0, 2)",0,True,False,pairing creates a loop,,,,0,0,0,0,,False
k4_tetrahedral,4,6,True,6,1,"(0, 2)",1,True,True,,True,False,True,6,0,6,6,1.0,False
k4_tetrahedral,4,6,True,6,2,"(0, 3)",0,True,False,pairing creates a loop,,,,0,0,0,0,,False
k4_tetrahedral,4,6,True,6,2,"(0, 3)",1,True,True,,True,False,True,6,0,6,6,1.0,False
k4_tetrahedral,4,6,True,6,3,"(1, 2)",0,True,False,pairing creates a loop,,,,0,0,0,0,,False
k4_tetrahedral,4,6,True,6,3,"(1, 2)",1,True,True,,True,False,True,6,0,6,6,1.0,False
k4_tetrahedral,4,6,True,6,4,"(1, 3)",0,True,False,pairing creates a loop,,,,0,0,0,0,,False
k4_tetrahedral,4,6,True,6,4,"(1, 3)",1,True,True,,True,False,True,6,0,6,6,1.0,False
k4_tetrahedral,4,6,True,6,5,"(2, 3)",0,True,False,pairing creates a loop,,,,0,0,0,0,,False
k4_tetrahedral,4,6,True,6,5,"(2, 3)",1,True,True,,True,False,True,6,0,6,6,1.0,False
triangular_prism,6,9,True,6,0,"(0, 1)",0,True,False,pairing creates a loop,,,,0,0,0,0,,False
triangular_prism,6,9,True,6,0,"(0, 1)",1,True,True,,True,False,True,6,0,6,6,1.0,False
triangular_prism,6,9,True,6,1,"(0, 2)",0,True,False,pairing creates a loop,,,,0,0,0,0,,False
triangular_prism,6,9,True,6,1,"(0, 2)",1,True,True,,True,False,True,6,0,6,6,1.0,False
triangular_prism,6,9,True,6,2,"(0, 3)",0,True,True,,True,False,False,12,6,6,6,0.5,False
triangular_prism,6,9,True,6,2,"(0, 3)",1,True,True,,True,False,False,6,6,0,0,0.0,True
triangular_prism,6,9,True,6,3,"(1, 2)",0,True,False,pairing creates a loop,,,,0,0,0,0,,False
triangular_prism,6,9,True,6,3,"(1, 2)",1,True,True,,True,False,True,6,0,6,6,1.0,False
