r2,r3,first_grouped_ratio,first_condition_4r3_ge_r2,first_ratio_ge_1_16,second_grouped_ratio,second_condition_r2_ge_2r3,second_ratio_ge_1_16,at_least_one_case_applies,an_applicable_case_proves_1_16
0,1,1/12,True,True,1/18,False,False,True,True
0,2,1/12,True,True,1/18,False,False,True,True
0,3,1/12,True,True,1/18,False,False,True,True
0,4,1/12,True,True,1/18,False,False,True,True
0,5,1/12,True,True,1/18,False,False,True,True
0,6,1/12,True,True,1/18,False,False,True,True
0,7,1/12,True,True,1/18,False,False,True,True
0,8,1/12,True,True,1/18,False,False,True,True
0,9,1/12,True,True,1/18,False,False,True,True
0,10,1/12,True,True,1/18,False,False,True,True
0,11,1/12,True,True,1/18,False,False,True,True
0,12,1/12,True,True,1/18,False,False,True,True
0,13,1/12,True,True,1/18,False,False,True,True
0,14,1/12,True,True,1/18,False,False,True,True
0,15,1/12,True,True,1/18,False,False,True,True
0,16,1/12,True,True,1/18,False,False,True,True
0,17,1/12,True,True,1/18,False,False,True,True
0,18,1/12,True,True,1/18,False,False,True,True
0,19,1/12,True,True,1/18,False,False,True,True
0,20,1/12,True,True,1/18,False,False,True,True
0,21,1/12,True,True,1/18,False,False,True,True
0,22,1/12,True,True,1/18,False,False,True,True
0,23,1/12,True,True,1/18,False,False,True,True
0,24,1/12,True,True,1/18,False,False,True,True
0,25,1/12,True,True,1/18,False,False,True,True
0,26,1/12,True,True,1/18,False,False,True,True
0,27,1/12,True,True,1/18,False,False,True,True
0,28,1/12,True,True,1/18,False,False,True,True
0,29,1/12,True,True,1/18,False,False,True,True
0,30,1/12,True,True,1/18,False,False,True,True
0,31,1/12,True,True,1/18,False,False,True,True
0,32,1/12,True,True,1/18,False,False,True,True
0,33,1/12,True,True,1/18,False,False,True,True
0,34,1/12,True,True,1/18,False,False,True,True
0,35,1/12,True,True,1/18,False,False,True,True
0,36,1/12,True,True,1/18,False,False,True,True
0,37,1/12,True,True,1/18,False,False,True,True
0,38,1/12,True,True,1/18,False,False,True,True
0,39,1/12,True,True,1/18,False,False,True,True
0,40,1/12,True,True,1/18,False,False,True,True
0,41,1/12,True,True,1/18,False,False,True,True
0,42,1/12,True,True,1/18,False,False,True,True
0,43,1/12,True,True,1/18,False,False,True,True
0,44,1/12,True,True,1/18,False,False,True,True
0,45,1/12,True,True,1/18,False,False,True,True
0,46,1/12,True,True,1/18,False,False,True,True
